"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/31/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/30/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/29/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/25/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/24/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/23/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/22/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/18/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/17/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/16/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/15/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/11/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/10/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/09/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/08/2023","5.0700","5.0700","5.0700","5.0700","","0.00%"
"05/04/2023","5.0700","5.0700","5.0700","5.0700","","5.19%"
"05/03/2023","4.8200","4.8200","4.8200","4.8200","","0.00%"
"05/02/2023","4.8200","4.8200","4.8200","4.8200","","0.00%"
"03/23/2023","4.8200","4.8200","4.8200","4.8200","","5.70%"
"03/08/2023","4.5600","4.5600","4.5600","4.5600","","0.00%"
"02/02/2023","4.5600","4.5600","4.5600","4.5600","","5.56%"
"12/15/2022","4.3200","4.3200","4.3200","4.3200","","13.09%"
"11/28/2022","3.8200","3.8200","3.8200","3.8200","","0.00%"
"11/03/2022","3.8200","3.8200","3.8200","3.8200","","24.43%"
"10/24/2022","3.0700","3.0700","3.0700","3.0700","","0.00%"
"10/21/2022","3.0700","3.0700","3.0700","3.0700","","0.66%"
"10/07/2022","3.0500","3.0500","3.0500","3.0500","","0.00%"
"09/30/2022","3.0500","3.0500","3.0500","3.0500","","0.00%"
"09/27/2022","3.0500","3.0500","3.0500","3.0500","","0.00%"
"09/26/2022","3.0500","3.0500","3.0500","3.0500","","0.00%"
"09/22/2022","3.0500","3.0500","3.0500","3.0500","","31.47%"
"09/19/2022","2.3200","2.3200","2.3200","2.3200","","0.00%"
"08/02/2022","2.3200","2.3200","2.3200","2.3200","","0.87%"
"07/29/2022","2.3000","2.3000","2.3000","2.3000","","-0.86%"
"07/28/2022","2.3200","2.3200","2.3200","2.3200","","48.72%"
"07/18/2022","1.5600","1.5600","1.5600","1.5600","","0.00%"
"06/16/2022","1.5600","1.5600","1.5600","1.5600","","95.00%"
"05/05/2022","0.8000","0.8000","0.8000","0.8000","","150.00%"
"03/17/2022","0.3200","0.3200","0.3200","0.3200","","357.14%"
"11/26/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"10/29/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"10/28/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"10/27/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/08/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/07/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/03/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/02/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/01/2021","0.0700","0.0700","0.0700","0.0700","","40.00%"
"08/31/2021","0.0500","0.0500","0.0500","0.0500","","-37.50%"
"08/17/2021","0.0800","0.0800","0.0800","0.0800","","0.00%"
"08/10/2021","0.0800","0.0800","0.0800","0.0800","","0.00%"
"08/02/2021","0.0800","0.0800","0.0800","0.0800","","14.29%"
"07/30/2021","0.0700","0.0700","0.0700","0.0700","","-12.50%"
"07/29/2021","0.0800","0.0800","0.0800","0.0800","","0.00%"
"07/22/2021","0.0800","0.0800","0.0800","0.0800","","-11.11%"
"07/02/2021","0.0900","0.0900","0.0900","0.0900","","80.00%"
"06/30/2021","0.0500","0.0500","0.0500","0.0500","","-44.44%"
"06/18/2021","0.0900","0.0900","0.0900","0.0900","","12.50%"
"06/17/2021","0.0800","0.0800","0.0800","0.0800","","33.33%"
"06/10/2021","0.0600","0.0600","0.0600","0.0600","","0.00%"
"06/01/2021","0.0600","0.0600","0.0600","0.0600","","200.00%"
"05/28/2021","0.0200","0.0200","0.0200","0.0200","","-66.67%"
"05/12/2021","0.0600","0.0600","0.0600","0.0600","","20.00%"
"05/05/2021","0.0500","0.0500","0.0500","0.0500","","-16.67%"
"05/04/2021","0.0600","0.0600","0.0600","0.0600","","100.00%"
"04/30/2021","0.0300","0.0300","0.0300","0.0300","","-57.14%"
"04/22/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"04/01/2021","0.0700","0.0700","0.0700","0.0700","","40.00%"
"03/31/2021","0.0500","0.0500","0.0500","0.0500","","-28.57%"
"03/25/2021","0.0700","0.0700","0.0700","0.0700","","-12.50%"
"09/14/2020","0.0800","0.0800","0.0800","0.0800","","0.00%"
"08/03/2020","0.0800","0.0800","0.0800","0.0800","","0.00%"
"06/12/2020","0.0800","0.0800","0.0800","0.0800","","14.29%"
"06/11/2020","0.0700","0.0700","0.0700","0.0700","","16.67%"
"06/04/2020","0.0600","0.0600","0.0600","0.0600","","20.00%"
"05/15/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"05/14/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"05/13/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"05/12/2020","0.0500","0.0500","0.0500","0.0500","","25.00%"
"04/28/2020","0.0400","0.0400","0.0400","0.0400","","0.00%"
"04/27/2020","0.0400","0.0400","0.0400","0.0400","","-20.00%"
"04/13/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"04/03/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"04/02/2020","0.0500","0.0500","0.0500","0.0500","","150.00%"
"03/31/2020","0.0200","0.0200","0.0200","0.0200","","-60.00%"
"03/27/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"03/26/2020","0.0500","0.0500","0.0500","0.0500","","-50.00%"
"03/25/2020","0.1000","0.1000","0.1000","0.1000","","-60.00%"
"03/24/2020","0.2500","0.2500","0.2500","0.2500","","66.67%"
"03/23/2020","0.1500","0.1500","0.1500","0.1500","","-40.00%"
"03/20/2020","0.2500","0.2500","0.2500","0.2500","","0.00%"
"03/18/2020","0.2500","0.2500","0.2500","0.2500","","-37.50%"
"03/16/2020","0.4000","0.4000","0.4000","0.4000","","-62.96%"
"03/05/2020","1.0800","1.0800","1.0800","1.0800","","-1.82%"
"03/04/2020","1.1000","1.1000","1.1000","1.1000","","-30.38%"
